bid_spread_factor,ask_spread_factor,max_inventory_limit,hedge_ratio,order_size_multiplier,skew_factor,generation
0.0007642537731132997,0.007823564884539141,768,0.8016803371091094,0.2450009118373143,0.04408042430194088,0
0.00851074015997717,0.007364767288141512,64,0.722256985324514,0.279006080679766,0.018269374444539677,1
0.0007642537731132997,0.000347739377740957,583,0.8016803371091094,0.07153123968183596,0.088871638547447,2
0.0021191259232343418,0.007364767288141512,583,0.722256985324514,0.1504926473615674,0.06465319020534271,3
0.00036708242005280734,0.000347739377740957,174,0.722256985324514,0.14947552870211772,0.05188017351015273,4
0.0021191259232343418,0.007364767288141512,583,0.722256985324514,0.14947552870211772,0.05188017351015273,5
0.00036708242005280734,0.000347739377740957,226,0.722256985324514,0.14947552870211772,0.05188017351015273,6
0.00036708242005280734,0.000347739377740957,174,0.722256985324514,0.19266171652753522,0.05188017351015273,7
0.00036708242005280734,0.000347739377740957,174,0.17940215991906983,0.19266171652753522,0.05188017351015273,8
0.00036708242005280734,0.0001,174,0.17940215991906983,0.19266171652753522,0.05188017351015273,9
