name,detection_window,lookback,avg_flash_crashes,avg_crash_duration
lf = 30 lb = 5,30,5,0.0,0
lf = 40 lb = 5,40,5,0.0,0
lf = 50 lb = 5,50,5,0.0,0
lf = 30 lb = 10,30,10,0.0,0
lf = 40 lb = 10,40,10,0.0,0
lf = 50 lb = 10,50,10,0.0,0
